Date	AAPL	BA	T	MGM	AMZN	IBM	TSLA	GOOG	sp500
8/15/2012	90.118568	73.07	37.099998	10.21	237.419998	198.399994	29.4	332.523621	1405.530029
8/16/2012	90.905716	73.639999	37.240002	10.37	241.550003	200.839996	30.299999	335.17868	1415.51001
8/17/2012	92.587143	73.910004	37.169998	10.52	241.169998	201.220001	30.01	337.305695	1418.160034
8/20/2012	95.021431	73.830002	36.889999	10.6	240.350006	200.5	29.51	336.508698	1418.130005
8/21/2012	93.722855	73.269997	36.59	10.48	239.449997	198.649994	29.110001	333.504944	1413.170044
8/22/2012	95.552856	72.800003	36.560001	10.5	243.100006	197.25	29.950001	337.325623	1413.48999
8/23/2012	94.66143	70.360001	36.560001	10.29	241.199997	195.699997	30.73	337.136322	1402.079956
8/24/2012	94.745712	71.089996	36.950001	10.31	245.740005	197.770004	29.5	338.047913	1411.130005
8/27/2012	96.525711	71.379997	36.869999	10.1	243.919998	195.690002	28.32	333.360474	1410.439941
8/28/2012	96.400002	71.519997	36.639999	10.04	246.110001	194.869995	28.690001	337.360504	1409.300049
8/29/2012	96.209999	71.440002	36.82	10.15	247.119995	195.080002	28.41	342.720398	1410.48999
8/30/2012	94.83857	70.82	36.689999	9.83	246.220001	193.369995	28.41	339.56723	1399.47998
8/31/2012	95.034286	71.400002	36.639999	9.86	248.270004	194.850006	28.52	341.265839	1406.579956
9/4/2012	96.424286	70.870003	36.810001	9.76	247.880005	194.539993	28.139999	339.248413	1404.939941
9/5/2012	95.747147	71.919998	36.93	9.77	246.220001	195.039993	27.940001	339.08902	1403.439941
9/6/2012	96.610001	72.82	37.439999	10.33	251.380005	199.100006	28.549999	348.394135	1432.119995
9/7/2012	97.205711	72.889999	37.299999	10.7	259.140015	199.5	29.35	351.756531	1437.920044
9/10/2012	94.677139	71.080002	37.419998	10.92	257.089996	200.949997	27.370001	349.076569	1429.079956
9/11/2012	94.370003	71.269997	37.619999	10.78	255.669998	203.270004	27.799999	344.802582	1433.560059
9/12/2012	95.684288	70.959999	37.720001	10.96	255.630005	203.770004	28.280001	344.150055	1436.560059
9/13/2012	97.568573	71.580002	38.150002	11.28	260.23999	206.360001	29.48	351.701721	1459.98999
9/14/2012	98.754288	71.279999	37.259998	11.41	261.269989	206.809998	30.389999	353.514954	1465.77002
9/17/2012	99.968575	69.919998	37.599998	11.23	258	207.149994	32.540001	353.664368	1461.189941
9/18/2012	100.272858	70.449997	37.66	11.05	258.75	207.070007	31.34	357.798889	1459.319946
9/19/2012	100.300003	69.900002	37.759998	11.16	261.679993	206.429993	31.049999	362.391663	1461.050049
9/20/2012	99.814285	69.849998	37.939999	10.79	260.809998	206.179993	30.9	362.7005	1460.26001
9/21/2012	100.012856	69.970001	38.080002	10.72	257.470001	205.979996	30.02	365.624542	1460.150024
9/24/2012	98.684288	70.029999	38.25	10.68	254.800003	205.289993	30.66	373.290802	1456.890015
9/25/2012	96.220001	69.379997	38.060001	10.46	252.460007	204.979996	27.66	373.181213	1441.589966
9/26/2012	95.025711	70.25	38.080002	10.54	249.669998	204	27.540001	375.323212	1433.319946
9/27/2012	97.331429	70.099998	37.990002	10.88	256.589996	205.910004	28.49	376.837524	1447.150024
9/28/2012	95.300003	69.599998	37.700001	10.75	254.320007	207.449997	29.280001	375.841248	1440.670044
10/1/2012	94.19857	70.010002	37.75	10.69	252.009995	210.470001	29.16	379.467651	1444.48999
10/2/2012	94.472855	69.529999	37.810001	10.58	250.600006	209.839996	29.799999	377.081604	1445.75
10/3/2012	95.921425	69.860001	38.169998	10.57	255.919998	210.509995	29.299999	379.826324	1450.98999
10/4/2012	95.257141	69.940002	38.34	10.47	260.470001	210.389999	29.4	382.590942	1461.400024
10/5/2012	93.227142	70.889999	37.860001	10.54	258.51001	210.589996	28.889999	382.391693	1460.930054
10/8/2012	91.167145	70.57	37.66	10.42	259.059998	209.820007	29.25	377.505005	1455.880005
10/9/2012	90.835716	70.639999	37.139999	10.45	250.960007	207.990005	28.370001	370.655701	1441.47998
10/10/2012	91.558571	70.339996	36.919998	10.17	244.990005	205.820007	28.4	370.889801	1432.560059
10/11/2012	89.728569	70.830002	36.259998	10.27	244.220001	205.759995	28.32	374.336884	1432.839966
10/12/2012	89.958572	71.849998	35.630001	10.25	242.360001	207.800003	27.639999	370.984467	1428.589966
10/15/2012	90.68	72.25	35.209999	10.38	244.179993	208.929993	27.33	369.106506	1440.130005
10/16/2012	92.827141	73.480003	35.400002	10.71	243.940002	211	28.059999	370.959564	1454.920044
10/17/2012	92.087143	73.629997	35.720001	10.92	247.490005	200.630005	28.82	376.334412	1460.910034
10/18/2012	90.377144	74.260002	36.02	11.17	244.850006	194.960007	28.040001	346.202362	1457.339966
10/19/2012	87.120003	74.010002	35.32	11.06	240	193.360001	27.74	339.622009	1433.189941
10/22/2012	90.575714	73.699997	35.259998	11.01	233.779999	194.399994	27.85	338.067841	1433.819946
10/23/2012	87.622856	72.82	35	10.74	234.309998	191.25	28.389999	338.904694	1413.109985
10/24/2012	88.118568	72.709999	34.709999	10.64	228.490005	190.720001	27.42	337.385406	1408.75
10/25/2012	87.077141	71.540001	34.5	10.88	222.919998	191.600006	27.52	337.614532	1412.969971
10/26/2012	86.285713	71.110001	34.630001	10.59	238.240005	193.270004	27.379999	336.314423	1411.939941
10/31/2012	85.045715	70.440002	34.59	10.31	232.889999	194.529999	28.129999	338.879791	1412.160034
11/1/2012	85.220001	70.790001	35.09	10.47	232.139999	197.149994	29.25	342.511169	1427.589966
11/2/2012	82.400002	70.050003	34.93	10.25	232.419998	193.429993	28.92	342.675568	1414.199951
11/5/2012	83.517143	70.410004	34.830002	10.1	234.330002	194.139999	31.5	340.204834	1417.26001
11/6/2012	83.264282	72.019997	34.799999	10.31	237.559998	195.070007	31.15	339.587158	1428.390015
11/7/2012	79.714287	70.110001	33.639999	10.06	232.059998	191.160004	31.540001	332.314392	1394.530029
11/8/2012	76.821426	70.980003	33.200001	9.78	227.350006	190.100006	31.309999	324.927094	1377.51001
11/9/2012	78.151428	73.25	33.540001	10.01	226.309998	189.639999	30.32	330.277039	1379.849976
11/12/2012	77.547142	73.690002	33.869999	9.59	226.470001	189.25	31.07	331.706696	1380.030029
11/13/2012	77.557144	73.360001	33.950001	9.45	226.600006	188.320007	31.610001	328.294464	1374.530029
11/14/2012	76.697144	71.290001	33.779999	9.3	222.949997	185.509995	31.379999	325.05661	1355.48999
11/15/2012	75.08857	71.040001	33.419998	9.37	220.600006	185.850006	30.82	322.421478	1353.329956
11/16/2012	75.382858	70.769997	33.139999	9.64	225.229996	186.940002	31.84	322.381622	1359.880005
11/19/2012	80.818573	71.959999	33.82	9.6	229.710007	190.350006	32.919998	332.857361	1386.890015
11/20/2012	80.129997	72.540001	33.68	9.64	233.779999	189.199997	33	333.73407	1387.810059
11/21/2012	80.242859	73.150002	33.849998	9.89	238.029999	190.289993	32.470001	331.691742	1391.030029
11/23/2012	81.64286	73.739998	34.360001	9.99	239.880005	193.490005	32.130001	332.737823	1409.150024
11/26/2012	84.218575	74.269997	33.970001	9.82	243.619995	192.880005	32.27	329.340546	1406.290039
11/27/2012	83.540001	74.489998	33.619999	9.86	243.399994	191.229996	32.150002	334.102692	1398.939941
11/28/2012	83.277145	74.089996	33.619999	9.99	247.110001	191.979996	33.23	340.558502	1409.930054
11/29/2012	84.194283	74.120003	33.93	10.01	251.270004	191.529999	33.689999	344.653168	1415.949951
11/30/2012	83.611427	74.279999	34.130001	10.15	252.050003	190.070007	33.82	347.881042	1416.180054
12/3/2012	83.741432	74.019997	34.139999	10.17	250.330002	189.479996	34.619999	346.326874	1409.459961
12/4/2012	82.264282	74.050003	33.919998	9.92	252.490005	189.360001	33.900002	344.224762	1407.050049
12/5/2012	76.970001	73.870003	33.91	9.97	253.960007	188.649994	33.709999	342.625763	1409.280029
12/6/2012	78.177139	73.980003	33.650002	10.97	253.369995	189.699997	33.900002	344.274567	1413.939941
12/7/2012	76.178574	74.639999	33.740002	10.93	253.270004	191.949997	34.169998	340.827484	1418.069946
12/10/2012	75.688568	75.529999	33.73	10.91	247.770004	192.619995	34.57	341.430237	1418.550049
12/11/2012	77.341431	75.82	34.150002	10.93	250.690002	194.199997	35.279999	347.138824	1427.839966
12/12/2012	77	75.470001	34.490002	11.32	251.759995	192.949997	35.259998	347.47757	1428.47998
12/13/2012	75.669998	74.32	34.32	11.43	251.25	191.990005	33.610001	350.037964	1419.449951
12/14/2012	72.827141	74.019997	34.009998	11.38	249.190002	191.759995	33.810001	349.669342	1413.579956
12/17/2012	74.118568	74.650002	34.23	11.42	253.860001	193.619995	34.400002	359.04422	1430.359985
12/18/2012	76.271431	75.519997	34.34	11.63	260.399994	195.690002	34.59	359.18866	1446.790039
12/19/2012	75.187141	75.510002	33.91	11.54	257.98999	195.080002	34.610001	358.71048	1435.810059
12/20/2012	74.53286	76.199997	34.169998	11.66	261.5	194.770004	34.43	359.831268	1443.689941
12/21/2012	74.190002	76.169998	33.669998	11.81	256.920013	193.419998	34	356.478821	1430.150024
12/24/2012	74.309998	75.970001	33.740002	11.69	258.619995	192.399994	34.279999	353.425262	1426.660034
12/26/2012	73.285713	76.019997	33.779999	11.59	248.630005	191.949997	33.59	353.11145	1419.829956
12/27/2012	73.580002	75.830002	33.66	11.71	248.309998	192.710007	33.689999	351.826263	1418.099976
12/28/2012	72.798569	74.690002	33.32	11.43	245.179993	189.830002	33.220001	348.697998	1402.430054
12/31/2012	76.024284	75.360001	33.709999	11.64	250.869995	191.550003	33.869999	352.369232	1426.189941
1/2/2013	78.432854	77.07	35	12.27	257.309998	196.350006	35.360001	360.274597	1462.420044
1/3/2013	77.442856	77.470001	35.02	12.46	258.480011	195.270004	34.77	360.483826	1459.369995
1/4/2013	75.285713	77.690002	35.23	12.64	259.149994	193.990005	34.400002	367.607117	1466.469971
1/7/2013	74.842857	76.129997	35.389999	12.68	268.459991	193.139999	34.34	366.003143	1461.890015
1/8/2013	75.044289	74.129997	34.349998	12.95	266.380005	192.869995	33.68	365.280823	1457.150024
1/9/2013	73.871429	76.760002	34.240002	12.89	266.350006	192.320007	33.639999	367.681824	1461.02002
1/10/2013	74.78714	77.089996	34.369999	12.67	265.339996	192.880005	33.529999	369.35556	1472.119995
1/11/2013	74.328575	75.160004	34.27	12.8	267.940002	194.449997	32.91	368.613342	1472.050049
